"appointment_id","office_id","property_id","appointment_type","status","notes"
1,1,68,"Viewing","Completed","Discussed pricing expectations and market conditions"
2,4,48,"Viewing","Completed","Covered financing readiness and next steps"
3,3,34,"Viewing","Completed","General consultation for prospective clients"
4,5,17,"Viewing","Completed","Covered financing readiness and next steps"
5,4,32,"Viewing","Completed","General consultation for prospective clients"
6,4,36,"Follow-up","Scheduled","Walk-through focused on layout and neighborhood fit"
7,4,57,"Follow-up","Completed","Covered financing readiness and next steps"
8,1,68,"Follow-up","Completed","Discussed pricing expectations and market conditions"
9,1,74,"Viewing","Completed","General consultation for prospective clients"
10,3,59,"Consultation","Completed","Reviewed rental screening requirements"
11,5,13,"Viewing","Completed","Reviewed rental screening requirements"
12,3,48,"Follow-up","Scheduled","Reviewed rental screening requirements"
13,5,11,"Viewing","Completed","Walk-through focused on layout and neighborhood fit"
14,4,57,"Consultation","Completed","Reviewed rental screening requirements"
15,1,66,"Consultation","Completed","Covered financing readiness and next steps"
16,1,74,"Follow-up","Completed","Covered financing readiness and next steps"
17,2,71,"Viewing","Scheduled","Walk-through focused on layout and neighborhood fit"
18,5,11,"Viewing","Completed","Reviewed rental screening requirements"
19,1,66,"Follow-up","Completed","Reviewed rental screening requirements"
20,2,82,"Consultation","Scheduled","Discussed pricing expectations and market conditions"
21,1,74,"Viewing","Completed","Covered financing readiness and next steps"
22,3,59,"Follow-up","Completed","Covered financing readiness and next steps"
23,3,42,"Consultation","Completed","General consultation for prospective clients"
24,3,44,"Consultation","Completed","Walk-through focused on layout and neighborhood fit"
25,2,71,"Follow-up","Scheduled","General consultation for prospective clients"
26,5,11,"Follow-up","Completed","Walk-through focused on layout and neighborhood fit"
27,1,66,"Viewing","Completed","General consultation for prospective clients"
28,4,32,"Follow-up","Cancelled","Walk-through focused on layout and neighborhood fit"
29,6,2,"Follow-up","Completed","Covered financing readiness and next steps"
30,3,45,"Follow-up","Completed","General consultation for prospective clients"
31,6,2,"Follow-up","Completed","Discussed pricing expectations and market conditions"
32,5,3,"Viewing","Cancelled","Walk-through focused on layout and neighborhood fit"
33,4,48,"Follow-up","Completed","Reviewed rental screening requirements"
34,3,48,"Viewing","Completed","General consultation for prospective clients"
35,1,86,"Follow-up","Completed","Discussed pricing expectations and market conditions"
36,4,32,"Consultation","Completed","Reviewed rental screening requirements"
37,5,17,"Follow-up","Completed","Covered financing readiness and next steps"
38,3,33,"Follow-up","Completed","Reviewed rental screening requirements"
39,5,3,"Consultation","Completed","Reviewed rental screening requirements"
40,1,68,"Consultation","Cancelled","General consultation for prospective clients"
41,4,57,"Consultation","Completed","General consultation for prospective clients"
42,1,78,"Consultation","Completed","Walk-through focused on layout and neighborhood fit"
43,3,59,"Viewing","Completed","Reviewed rental screening requirements"
44,6,3,"Viewing","Scheduled","Discussed pricing expectations and market conditions"
45,5,3,"Consultation","Completed","Walk-through focused on layout and neighborhood fit"
46,3,33,"Consultation","Scheduled","General consultation for prospective clients"
47,2,71,"Follow-up","Completed","General consultation for prospective clients"
48,1,78,"Viewing","Completed","Covered financing readiness and next steps"
49,5,17,"Consultation","Completed","Discussed pricing expectations and market conditions"
50,2,76,"Viewing","Completed","Reviewed rental screening requirements"
51,6,28,"Consultation","Completed","General consultation for prospective clients"
52,2,88,"Viewing","Completed","Discussed pricing expectations and market conditions"
53,5,9,"Viewing","Scheduled","Discussed pricing expectations and market conditions"
54,2,81,"Consultation","Completed","Discussed pricing expectations and market conditions"
55,6,14,"Follow-up","Completed","Covered financing readiness and next steps"
56,2,81,"Follow-up","Scheduled","General consultation for prospective clients"
